  lambda        6528tc     6529tc     6530tc     6531tc     6532tc
% absorb(nm)  --------   --------   --------   --------   --------
     633      0.237767   0.257068   0.243500   0.289071   0.340878
     634      0.237644   0.256419   0.242908   0.288613   0.340230
     635      0.236692   0.255331   0.241992   0.286988   0.338979
     636      0.236620   0.255238   0.241763   0.286788   0.338705
     637      0.236599   0.254166   0.241593   0.286017   0.338368
     638      0.236213   0.253905   0.240928   0.285594   0.338017
     639      0.235436   0.253188   0.240233   0.284644   0.337186
     640      0.235287   0.252637   0.240097   0.284146   0.336300
     641      0.236024   0.253155   0.240672   0.284460   0.336738
     642      0.234900   0.251720   0.239591   0.283448   0.335614
     643      0.234689   0.251372   0.239720   0.282665   0.335325
     644      0.234496   0.250971   0.238922   0.281842   0.334870
     645      0.234265   0.250290   0.238346   0.281397   0.334245
     646      0.233926   0.249682   0.238516   0.280944   0.333561
     647      0.233123   0.248773   0.237701   0.280038   0.332691
     648      0.233181   0.248511   0.237234   0.279480   0.332561
     649      0.232464   0.247567   0.236539   0.278609   0.331405
     650      0.232620   0.247569   0.236613   0.278470   0.331643
     651      0.232080   0.246756   0.235840   0.277616   0.330598
     652      0.231529   0.246009   0.235293   0.276695   0.329850
     653      0.231604   0.245912   0.235448   0.276459   0.329604
     654      0.230908   0.244645   0.234687   0.275449   0.328864
     655      0.230437   0.244326   0.234308   0.274928   0.328024
     656      0.230375   0.244016   0.234135   0.274558   0.327857
     657      0.230152   0.243518   0.233676   0.274059   0.327145
     658      0.229626   0.242982   0.232940   0.272854   0.326398
     659      0.229637   0.242697   0.233473   0.273002   0.326235
     660      0.229236   0.241975   0.232404   0.272041   0.325166
     661      0.228192   0.240748   0.231468   0.270703   0.324342
     662      0.228341   0.240527   0.231412   0.270663   0.323923
     663      0.227995   0.240444   0.231016   0.269729   0.323590
     664      0.227856   0.239736   0.230583   0.269152   0.322943
     665      0.227899   0.239311   0.230372   0.268498   0.322703
     666      0.226779   0.238378   0.229664   0.267642   0.321558
     667      0.226716   0.237998   0.229716   0.267334   0.321327
     668      0.225981   0.237056   0.228540   0.266265   0.320251
     669      0.226262   0.237051   0.228640   0.266183   0.320158
     670      0.226258   0.236715   0.228623   0.265705   0.319818
     671      0.225973   0.236287   0.228809   0.264976   0.319125
     672      0.224903   0.234953   0.227825   0.263779   0.318014
     673      0.224876   0.234572   0.227525   0.262883   0.317342
     674      0.224395   0.234215   0.227119   0.262634   0.316683
     675      0.224169   0.233375   0.226457   0.261584   0.316044
     676      0.223467   0.232485   0.225654   0.260774   0.315406
     677      0.223953   0.233016   0.226330   0.260779   0.315727
     678      0.223459   0.232368   0.225503   0.260308   0.314498
